 "tick, turtle_id, motility_state, xcor, ycor, freq, egg_contact_time"
0,57, "progressive",0,0,1,0
0,90, "progressive",0,0,1,0
0,37, "progressive",0,0,0,0
0,26, "progressive",0,0,1,0
0,67, "progressive",0,0,3,0
0,76, "progressive",0,0,1,0
0,59, "progressive",0,0,0,0
0,58, "progressive",0,0,1,0
0,40, "progressive",0,0,1,0
0,25, "progressive",0,0,1,0
0,71, "progressive",0,0,2,0
0,63, "progressive",0,0,0,0
0,97, "progressive",0,0,2,0
0,43, "progressive",0,0,2,0
0,35, "progressive",0,0,1,0
0,7, "progressive",0,0,4,0
0,65, "progressive",0,0,1,0
0,8, "progressive",0,0,1,0
0,96, "progressive",0,0,1,0
0,10, "progressive",0,0,0,0
0,78, "progressive",0,0,1,0
0,87, "progressive",0,0,0,0
0,79, "progressive",0,0,1,0
0,80, "progressive",0,0,2,0
0,16, "progressive",0,0,0,0
0,24, "progressive",0,0,0,0
0,17, "progressive",0,0,1,0
0,15, "progressive",0,0,1,0
0,13, "progressive",0,0,2,0
0,62, "progressive",0,0,1,0
0,61, "progressive",0,0,1,0
0,89, "progressive",0,0,0,0
0,29, "progressive",0,0,0,0
0,12, "progressive",0,0,0,0
0,34, "progressive",0,0,2,0
0,56, "progressive",0,0,1,0
0,22, "progressive",0,0,0,0
0,9, "progressive",0,0,2,0
0,3, "progressive",0,0,0,0
0,47, "progressive",0,0,1,0
0,60, "progressive",0,0,1,0
0,23, "progressive",0,0,0,0
0,42, "progressive",0,0,1,0
0,36, "progressive",0,0,2,0
0,74, "progressive",0,0,0,0
0,31, "progressive",0,0,1,0
0,49, "progressive",0,0,0,0
0,98, "progressive",0,0,0,0
0,95, "progressive",0,0,0,0
0,41, "progressive",0,0,1,0
0,85, "progressive",0,0,1,0
0,83, "progressive",0,0,1,0
0,70, "progressive",0,0,0,0
0,19, "progressive",0,0,0,0
0,52, "progressive",0,0,1,0
0,32, "progressive",0,0,2,0
0,55, "progressive",0,0,2,0
0,73, "progressive",0,0,0,0
0,84, "progressive",0,0,3,0
0,91, "progressive",0,0,2,0
0,11, "progressive",0,0,1,0
0,44, "progressive",0,0,2,0
0,93, "progressive",0,0,3,0
0,5, "progressive",0,0,2,0
0,46, "progressive",0,0,1,0
0,50, "progressive",0,0,2,0
0,72, "progressive",0,0,3,0
0,20, "progressive",0,0,0,0
0,69, "progressive",0,0,1,0
0,27, "progressive",0,0,1,0
0,51, "progressive",0,0,2,0
0,45, "progressive",0,0,1,0
0,38, "progressive",0,0,0,0
0,81, "progressive",0,0,0,0
0,94, "progressive",0,0,2,0
0,2, "progressive",0,0,2,0
0,1, "progressive",0,0,2,0
0,53, "progressive",0,0,0,0
0,0, "progressive",0,0,2,0
0,4, "progressive",0,0,2,0
0,77, "progressive",0,0,2,0
0,18, "progressive",0,0,0,0
0,66, "progressive",0,0,0,0
0,21, "progressive",0,0,2,0
0,82, "progressive",0,0,2,0
0,28, "progressive",0,0,1,0
0,86, "progressive",0,0,2,0
0,30, "progressive",0,0,1,0
0,14, "progressive",0,0,3,0
0,33, "progressive",0,0,1,0
0,88, "progressive",0,0,2,0
0,68, "progressive",0,0,0,0
0,48, "progressive",0,0,1,0
0,6, "progressive",0,0,1,0
0,39, "progressive",0,0,2,0
0,64, "progressive",0,0,3,0
0,75, "progressive",0,0,1,0
0,54, "progressive",0,0,1,0
0,92, "progressive",0,0,2,0
0,99, "progressive",0,0,1,0
1912,53, "progressive",-6.348269445589386,13.849808286679322,0,0
1912,31, "progressive",10.701546968810757,11.085109366343229,1,0
1912,14, "hyperactive",-9.703089304740837,-7.921879649913448,3,0
1912,42, "progressive",13.161270754840757,15.588345891135853,1,0.15748031496062992
1912,34, "intermediate",-2.078482045761977,-0.21365359769417386,2,0
1912,41, "progressive",-6.718687267528989,14.042847474310475,1,0
1912,92, "intermediate",-9.907669355560172,13.682135851879764,2,0
1912,2, "intermediate",12.289585677756756,12.65473281651611,2,0
1912,43, "intermediate",14.451252208698092,-14.408328151250922,2,0.3937007874015747
1912,74, "progressive",-4.521285875118024,-4.563016638597997,0,0
1912,17, "progressive",-9.168599780151203,5.06074406559362,1,0.19685039370078738
1912,79, "progressive",-4.6655156209944675,-3.12869847507281,1,0
1912,13, "hyperactive",9.63935262492603,-13.63079305970885,2,0
1912,95, "progressive",14.359410960326388,2.4197590012165877,0,0.9448818897637798
1912,93, "hyperactive",-7.342558503827201,7.458599634567558,3,0
1912,32, "hyperactive",-1.0926994004507227,-5.481449886340804,2,0
1912,52, "progressive",15.119604940324793,13.293695205971447,1,0
1912,85, "progressive",0.8588609233570776,5.3714488080963525,1,0
1912,54, "progressive",-6.43950329477035,-12.547295833907564,1,0
1912,3, "progressive",-14.019013911244292,14.155811991383693,0,0
1912,87, "progressive",7.601114524526354,7.749778009711194,0,0
1912,99, "progressive",6.560705944111893,-2.6966535667098297,1,0
1912,57, "progressive",9.908086481916179,-1.0006121018586724,1,0.19685039370078738
1912,12, "progressive",-0.21569674483786871,-13.004640801978175,0,0
1912,26, "progressive",-2.758979662244223,-4.452761979040505,1,0
1912,15, "progressive",3.4086327328620167,-12.82108032196377,1,0
1912,0, "intermediate",-7.269220226778553,0.4311989706420094,2,0
1912,80, "intermediate",-14.264300563751178,-3.966204912108415,2,0
1912,44, "hyperactive",-0.7501932939115199,-12.841723393744543,2,0
1912,60, "progressive",-9.76202164691329,-7.9723291931543905,1,0
1912,50, "intermediate",16.37108397241417,13.393382824171699,2,0.11811023622047244
1912,81, "progressive",3.9222226481713913,16.098123117019338,0,0
1912,97, "intermediate",-12.446607124507459,9.503364874931673,2,0
1912,1, "hyperactive",-14.505965917366941,-7.792825698188414,2,0
1912,65, "progressive",10.414795852525188,9.519329424770937,1,0
1912,64, "hyperactive",-8.06496014179467,-7.463912120564751,3,0
1912,84, "intermediate",13.338070985400417,12.86928230649415,3,0
1912,19, "progressive",2.5922184465840896,-11.415093355281446,0,0
1912,89, "progressive",-9.688873318410028,10.631212589035025,0,0
1912,58, "progressive",-15.718301968940365,4.60114544763452,1,0
1912,37, "progressive",2.2022502355263267,9.823404791125716,0,0
1912,24, "progressive",9.01537034013284,10.20355391697194,0,0
1912,69, "progressive",-9.68887876165303,-0.9354383066552768,1,0
1912,6, "progressive",6.320858163966029,3.580184950738278,1,0
1912,22, "progressive",4.551392881843768,-0.24499153144453625,0,0
1912,30, "progressive",2.250950676723283,-16.13468280225202,1,0
1912,94, "hyperactive",-10.555136009979691,-5.142151784854117,2,0
1912,76, "progressive",2.982342024343435,9.120134455448879,1,0
1912,90, "progressive",-4.318428301742827,-15.620392023270586,1,0
1912,39, "hyperactive",-2.444436751724043,6.805405863677513,2,0
1912,83, "progressive",12.902452967485134,6.1339274026184905,1,0
1912,66, "progressive",6.207157474170043,7.280054856710076,0,0
1912,59, "progressive",9.36672178925208,-12.980626309126428,0,0
