 "tick, turtle_id, motility_state, xcor, ycor, freq, egg_contact_time"
0,48, "progressive",0,0,0,0
0,34, "progressive",0,0,1,0
0,19, "progressive",0,0,0,0
0,81, "progressive",0,0,1,0
0,76, "progressive",0,0,1,0
0,92, "progressive",0,0,1,0
0,24, "progressive",0,0,1,0
0,42, "progressive",0,0,0,0
0,73, "progressive",0,0,1,0
0,97, "progressive",0,0,1,0
0,18, "progressive",0,0,2,0
0,52, "progressive",0,0,1,0
0,41, "progressive",0,0,1,0
0,74, "progressive",0,0,0,0
0,91, "progressive",0,0,0,0
0,50, "progressive",0,0,4,0
0,45, "progressive",0,0,1,0
0,30, "progressive",0,0,3,0
0,7, "progressive",0,0,5,0
0,20, "progressive",0,0,0,0
0,44, "progressive",0,0,1,0
0,99, "progressive",0,0,1,0
0,75, "progressive",0,0,0,0
0,32, "progressive",0,0,2,0
0,43, "progressive",0,0,0,0
0,70, "progressive",0,0,1,0
0,38, "progressive",0,0,3,0
0,69, "progressive",0,0,0,0
0,21, "progressive",0,0,0,0
0,78, "progressive",0,0,0,0
0,60, "progressive",0,0,0,0
0,57, "progressive",0,0,1,0
0,11, "progressive",0,0,2,0
0,8, "progressive",0,0,1,0
0,12, "progressive",0,0,1,0
0,94, "progressive",0,0,2,0
0,71, "progressive",0,0,2,0
0,40, "progressive",0,0,1,0
0,3, "progressive",0,0,2,0
0,47, "progressive",0,0,3,0
0,96, "progressive",0,0,0,0
0,49, "progressive",0,0,1,0
0,27, "progressive",0,0,1,0
0,22, "progressive",0,0,0,0
0,31, "progressive",0,0,1,0
0,28, "progressive",0,0,0,0
0,88, "progressive",0,0,2,0
0,9, "progressive",0,0,3,0
0,46, "progressive",0,0,0,0
0,82, "progressive",0,0,1,0
0,86, "progressive",0,0,0,0
0,17, "progressive",0,0,0,0
0,33, "progressive",0,0,1,0
0,85, "progressive",0,0,2,0
0,77, "progressive",0,0,1,0
0,4, "progressive",0,0,1,0
0,89, "progressive",0,0,0,0
0,72, "progressive",0,0,2,0
0,59, "progressive",0,0,1,0
0,98, "progressive",0,0,2,0
0,14, "progressive",0,0,1,0
0,6, "progressive",0,0,2,0
0,58, "progressive",0,0,0,0
0,0, "progressive",0,0,0,0
0,5, "progressive",0,0,1,0
0,54, "progressive",0,0,0,0
0,51, "progressive",0,0,1,0
0,83, "progressive",0,0,0,0
0,37, "progressive",0,0,1,0
0,68, "progressive",0,0,2,0
0,87, "progressive",0,0,1,0
0,53, "progressive",0,0,1,0
0,62, "progressive",0,0,1,0
0,35, "progressive",0,0,0,0
0,56, "progressive",0,0,1,0
0,10, "progressive",0,0,1,0
0,93, "progressive",0,0,0,0
0,39, "progressive",0,0,1,0
0,80, "progressive",0,0,1,0
0,63, "progressive",0,0,3,0
0,36, "progressive",0,0,0,0
0,55, "progressive",0,0,0,0
0,26, "progressive",0,0,1,0
0,95, "progressive",0,0,0,0
0,61, "progressive",0,0,3,0
0,13, "progressive",0,0,1,0
0,84, "progressive",0,0,0,0
0,67, "progressive",0,0,1,0
0,29, "progressive",0,0,1,0
0,15, "progressive",0,0,2,0
0,65, "progressive",0,0,0,0
0,16, "progressive",0,0,1,0
0,25, "progressive",0,0,2,0
0,1, "progressive",0,0,0,0
0,79, "progressive",0,0,3,0
0,23, "progressive",0,0,0,0
0,2, "progressive",0,0,0,0
0,90, "progressive",0,0,3,0
0,64, "progressive",0,0,0,0
0,66, "progressive",0,0,2,0
2036,89, "progressive",-12.56793367700692,-15.346507136853333,0,0
2036,10, "progressive",14.335312855261751,4.155767621478101,1,0.3937007874015747
2036,49, "progressive",5.370085691415321,-14.393386359208048,1,0
2036,76, "intermediate",-14.15972503455794,9.401823498546303,1,0
2036,16, "progressive",16.457612491628396,6.103816581192539,1,0
2036,88, "intermediate",11.052835750421014,-0.2925549565349547,2,0.15748031496062992
2036,64, "progressive",-1.5778233727299396,12.448369145055485,0,0.5118110236220471
2036,13, "progressive",3.5004823682532202,15.170625750513556,1,0
2036,71, "intermediate",-14.730225125943093,-5.737645219444831,2,0
2036,98, "hyperactive",11.339671809099654,4.1617717026298475,2,0
2036,58, "progressive",10.454207724933415,3.817457892070289,0,0
2036,68, "intermediate",10.671128964950336,-9.448405922891608,2,0
