 "tick, turtle_id, motility_state, xcor, ycor, freq, egg_contact_time"
0,1, "progressive",0,0,0,0
0,35, "progressive",0,0,0,0
0,4, "progressive",0,0,2,0
0,21, "progressive",0,0,2,0
0,70, "progressive",0,0,1,0
0,67, "progressive",0,0,0,0
0,81, "progressive",0,0,0,0
0,43, "progressive",0,0,0,0
0,94, "progressive",0,0,2,0
0,12, "progressive",0,0,0,0
0,99, "progressive",0,0,1,0
0,8, "progressive",0,0,1,0
0,85, "progressive",0,0,2,0
0,64, "progressive",0,0,4,0
0,62, "progressive",0,0,2,0
0,73, "progressive",0,0,0,0
0,80, "progressive",0,0,3,0
0,16, "progressive",0,0,1,0
0,93, "progressive",0,0,1,0
0,2, "progressive",0,0,0,0
0,14, "progressive",0,0,0,0
0,47, "progressive",0,0,0,0
0,7, "progressive",0,0,0,0
0,31, "progressive",0,0,1,0
0,26, "progressive",0,0,0,0
0,56, "progressive",0,0,2,0
0,72, "progressive",0,0,0,0
0,33, "progressive",0,0,0,0
0,18, "progressive",0,0,1,0
0,68, "progressive",0,0,3,0
0,0, "progressive",0,0,1,0
0,10, "progressive",0,0,1,0
0,89, "progressive",0,0,0,0
0,38, "progressive",0,0,0,0
0,32, "progressive",0,0,0,0
0,97, "progressive",0,0,0,0
0,15, "progressive",0,0,1,0
0,95, "progressive",0,0,2,0
0,87, "progressive",0,0,0,0
0,65, "progressive",0,0,0,0
0,58, "progressive",0,0,0,0
0,48, "progressive",0,0,0,0
0,28, "progressive",0,0,0,0
0,36, "progressive",0,0,0,0
0,74, "progressive",0,0,2,0
0,11, "progressive",0,0,0,0
0,55, "progressive",0,0,1,0
0,59, "progressive",0,0,3,0
0,52, "progressive",0,0,0,0
0,66, "progressive",0,0,1,0
0,57, "progressive",0,0,0,0
0,29, "progressive",0,0,0,0
0,63, "progressive",0,0,1,0
0,83, "progressive",0,0,3,0
0,44, "progressive",0,0,1,0
0,69, "progressive",0,0,2,0
0,6, "progressive",0,0,0,0
0,34, "progressive",0,0,1,0
0,45, "progressive",0,0,2,0
0,42, "progressive",0,0,0,0
0,49, "progressive",0,0,0,0
0,5, "progressive",0,0,0,0
0,77, "progressive",0,0,0,0
0,41, "progressive",0,0,1,0
0,53, "progressive",0,0,1,0
0,98, "progressive",0,0,1,0
0,37, "progressive",0,0,2,0
0,86, "progressive",0,0,1,0
0,9, "progressive",0,0,1,0
0,40, "progressive",0,0,0,0
0,76, "progressive",0,0,1,0
0,92, "progressive",0,0,0,0
0,25, "progressive",0,0,1,0
0,19, "progressive",0,0,3,0
0,46, "progressive",0,0,1,0
0,24, "progressive",0,0,0,0
0,50, "progressive",0,0,1,0
0,39, "progressive",0,0,0,0
0,30, "progressive",0,0,1,0
0,71, "progressive",0,0,1,0
0,22, "progressive",0,0,0,0
0,75, "progressive",0,0,1,0
0,27, "progressive",0,0,1,0
0,88, "progressive",0,0,0,0
0,96, "progressive",0,0,0,0
0,78, "progressive",0,0,0,0
0,20, "progressive",0,0,0,0
0,84, "progressive",0,0,2,0
0,23, "progressive",0,0,0,0
0,61, "progressive",0,0,1,0
0,51, "progressive",0,0,0,0
0,90, "progressive",0,0,0,0
0,82, "progressive",0,0,0,0
0,3, "progressive",0,0,4,0
0,91, "progressive",0,0,0,0
0,17, "progressive",0,0,0,0
0,54, "progressive",0,0,2,0
0,79, "progressive",0,0,2,0
0,60, "progressive",0,0,2,0
0,13, "progressive",0,0,2,0
986,97, "progressive",2.596038164974126,11.460082063307778,0,0
986,12, "progressive",14.03848041908436,-12.449376513733087,0,0.5905511811023622
986,14, "progressive",15.985664200345658,-1.060930379244388,0,0
986,32, "progressive",15.339374135488741,13.774436127612574,0,0
986,39, "progressive",-13.247583210136337,1.544857536819375,0,0
986,85, "progressive",-0.07570815266051631,-0.9515732500116684,2,0
986,64, "hyperactive",-2.778893623542556,13.900628070163597,4,0
986,53, "progressive",16.20009697175125,2.525190403710111,1,0
986,52, "progressive",-13.131090118631565,-13.047107785891695,0,0
986,8, "progressive",-10.551750842527591,2.732079923580173,1,0
986,24, "progressive",-1.187481445698622,8.316284331244496,0,0
986,98, "progressive",3.506734361118508,-6.236758403274609,1,0
986,1, "progressive",-8.418202838404625,-15.980908936856597,0,0
986,54, "progressive",-8.001978989799062,8.084328387823017,2,0
986,41, "progressive",-3.665441905112382,-14.462416934350701,1,0
986,66, "progressive",-4.40029834631656,-9.387421230830723,1,0
986,59, "hyperactive",14.792194740561373,8.603951432413405,3,0
986,73, "progressive",4.00558409017739,2.7388168991220647,0,0
986,55, "progressive",8.67036764586982,-11.65823480736296,1,0
986,25, "progressive",8.506469323786941,-9.423196101598474,1,0
986,88, "progressive",-15.91135152005046,-6.351578717156725,0,0
986,58, "progressive",9.458159957143796,0.8870342893057482,0,0
986,67, "progressive",10.941850233378743,-3.9326512535986056,0,0
986,84, "progressive",-2.23932753610484,-6.96903909503599,2,0
986,80, "intermediate",5.359464492058866,14.000647943317565,3,0
986,96, "progressive",-1.1810086583172368,-5.792813119377518,0,0
986,79, "progressive",4.61959015106537,0.15994144875916133,2,0
986,21, "progressive",1.8816049537454125,-15.469353093920134,2,0.5118110236220471
986,93, "progressive",0.36436831276797743,-3.3990392861983683,1,0
986,92, "progressive",-6.048289394700564,0.9542096177900432,0,0
986,5, "progressive",2.238827844318661,16.070289837308703,0,0
986,16, "progressive",-1.36951856042023,-6.2600345835056395,1,0.07874015748031496
986,86, "progressive",5.674712789645046,-9.685470300356261,1,0.23622047244094485
986,35, "progressive",4.535003995715316,7.614658462200099,0,0
986,71, "progressive",-4.4920591218044885,3.909633035900262,1,0.11811023622047244
986,94, "progressive",16.108733241061593,-4.438898200982709,2,0
986,38, "progressive",4.719548936000561,12.3509753214622,0,0
986,63, "progressive",13.465689441845191,-4.261172584681417,1,0
986,42, "progressive",1.0971943179143437,15.409813667107342,0,0
986,77, "progressive",0.8168171407574644,-10.233534143545834,0,0.15748031496062992
986,34, "progressive",-0.10016236583555971,13.66532919488833,1,0
986,76, "progressive",14.513250604305705,-2.0103906172283037,1,0
986,68, "intermediate",-13.942246960237588,-2.4142034749021417,3,0
986,26, "progressive",-6.199425216041013,-1.710019016741358,0,0.4330708661417322
986,40, "progressive",5.339931226108802,-16.075981878312106,0,0.19685039370078738
986,43, "progressive",1.2874335339412988,-4.157106731841217,0,0
986,2, "progressive",-10.252291994983114,4.974988613572275,0,0
986,27, "progressive",-1.7638175430799057,-0.8942870735942627,1,0
986,48, "progressive",2.9147498881417966,3.105681841305027,0,0
986,3, "hyperactive",-7.1638866482588055,5.6719759579758575,4,0
986,17, "progressive",-13.912001811674052,-4.809960189807889,0,0
986,29, "progressive",13.993156007982929,-16.24564207924686,0,0
986,19, "hyperactive",14.291997907020384,-8.737157442906227,3,0
986,78, "progressive",15.47555499882333,-5.056718675662365,0,0.15748031496062992
986,60, "progressive",8.287663555718588,-5.496242787503679,2,0
986,30, "progressive",-1.0463551402380673,11.016241939322807,1,0
986,7, "progressive",5.7012315309945345,-3.414766153588422,0,0
986,15, "progressive",-6.553048091341484,4.740980878692119,1,0
986,95, "progressive",-15.488610463087907,-13.729125158644294,2,0
986,45, "progressive",9.048940155128598,0.8708333391369698,2,0
986,83, "intermediate",15.449084256121509,6.394937471225998,3,0
986,22, "progressive",7.5759030304068595,-2.365954801945738,0,0.19685039370078738
986,62, "progressive",-5.192585309302493,-7.653600331951597,2,0
986,50, "progressive",5.048035693034252,9.002633163690568,1,0
986,81, "progressive",13.40557202215772,6.341963858651438,0,0
986,56, "progressive",-8.211680727954404,-16.07655734567616,2,0.15748031496062992
986,82, "progressive",15.30584976749709,-15.094974025935649,0,0.35433070866141725
986,89, "progressive",-10.841165814754595,10.948290885526974,0,0
986,28, "progressive",-2.9239705013702735,13.578419184039099,0,0
986,37, "progressive",14.991000831523705,0.7306942803984047,2,0
986,9, "progressive",15.971881907043143,-7.656862346571912,1,0
986,18, "progressive",-13.786814774351816,3.3566507002632133,1,0
986,33, "progressive",10.655004053770881,-13.695202280053582,0,0.23622047244094485
986,0, "progressive",-12.700380964894556,3.5381795036526364,1,0
986,57, "progressive",-7.129954975071482,-4.914864832468854,0,0
986,61, "progressive",5.727909518186401,-8.593752431882313,1,0
986,20, "progressive",-0.43290492586002693,-10.958949041608426,0,0
986,10, "progressive",1.4753640609226149,4.054697794765854,1,0
986,6, "progressive",8.836565756828032,3.199830621104483,0,0
986,75, "progressive",3.0885181110382045,-2.690578276600166,1,0
986,99, "progressive",-0.8186679463767198,11.959934046171952,1,0
986,46, "progressive",3.2999100659017806,-5.678253972552664,1,0
986,90, "progressive",7.849896573434699,13.163546071735526,0,0
986,74, "progressive",10.255567369060044,4.051563422866873,2,0
986,70, "progressive",14.21716591980098,1.2483176758187455,1,0
986,69, "progressive",-10.805951024894558,2.701297379613777,2,0
986,47, "progressive",-0.4318917814307342,-9.021550958442514,0,0
986,91, "progressive",-8.674728748736525,16.37894993240276,0,0
986,44, "progressive",1.4036209764292094,15.404795989180744,1,0.15748031496062992
986,36, "progressive",6.770707307014236,5.403922106692663,0,0.19685039370078738
986,11, "progressive",-2.919918498456856,1.7456566846228472,0,0
986,72, "progressive",8.820793519800924,12.719936187592538,0,0
986,87, "progressive",-9.065286102191768,15.089055057166162,0,0
986,31, "progressive",2.328047415945728,6.598319419095617,1,0
986,49, "progressive",-14.852862931692822,8.170422095646595,0,0
986,65, "progressive",-9.037510909333736,-15.687909236941305,0,0
986,51, "progressive",2.0161287182050693,-0.6058496350186346,0,0.3149606299212598
